,name,id,track_number,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,tempo,explicit,complexity,popularity
0,The Beginning - Interlude,1PfkFgRDLuSggFQAd8uvXp,1.0,87314.0,8.0,1.0,1.0,0.0629,0.245,0.241,0.077,-19.77,0.0322,0.352,77.736,0.0,249.0,44.0
1,Fly Like An Eagle,5WW76v0NDWK5Wy5tfai5G8,2.0,240996.0,10.0,0.0,4.0,0.00262,0.268,0.889,0.00066,-4.626,0.18,0.498,167.886,0.0,857.0,50.0
2,The Red Crusade - Interlude,7x2jq2kAhxDH3M6FcgJKbs,3.0,44616.0,0.0,1.0,4.0,0.935,0.194,0.154,0.918,-18.954,0.0413,0.0383,147.872,0.0,140.0,43.0
3,The In-Between,3WZiHsjugLgasZW7wGemNN,4.0,254811.0,10.0,1.0,4.0,0.0119,0.469,0.951,0.0,-4.222,0.111,0.283,149.976,1.0,925.0,62.0
4,Legacy,12f3kgz9J1vU0Sd3qISMuJ,5.0,289026.0,2.0,1.0,4.0,0.0436,0.238,0.854,6.82e-06,-4.565,0.0682,0.138,178.076,0.0,850.0,48.0
5,"We Will Rock You (feat. Maria Brink, Lzzy Hale and Taylor Momsen)",3ltS4rlFrCYkdQqGzVjXBi,6.0,185201.0,11.0,0.0,4.0,0.00387,0.36,0.957,3.08e-06,-4.657,0.24,0.116,157.058,0.0,528.0,55.0
6,Mother,0kgXAjZ2y0kGjKUekY0H8t,7.0,249503.0,4.0,0.0,4.0,0.0234,0.403,0.851,3.92e-05,-4.813,0.131,0.12,162.029,0.0,847.0,50.0
7,"As Above, So Below",4pj2L6WbBAlevdxx6jgm32,8.0,249050.0,6.0,1.0,4.0,0.000778,0.497,0.99,0.0,-3.436,0.13,0.101,131.99,0.0,871.0,54.0
8,Born In Flames,4S0oduY2t0ajpZQ6T9kAq1,9.0,244750.0,11.0,0.0,4.0,0.0671,0.322,0.854,0.000416,-5.729,0.0786,0.078,119.856,0.0,870.0,46.0
9,God Is She,0qSVzDIOLWqIoOHjUUjv8c,10.0,279087.0,4.0,1.0,3.0,0.000685,0.17,0.957,0.0,-5.873,0.337,0.177,198.122,0.0,833.0,46.0
10,Holy Man,54nRzAJZ5gXwPn9HmkQFuN,11.0,215771.0,9.0,0.0,4.0,0.000381,0.168,0.964,0.00014,-3.396,0.396,0.164,67.673,0.0,702.0,45.0
11,Hunting Grounds (feat. Joe Cotela of Ded),2jYQwnSMEQiSLt78QKHceq,12.0,273543.0,0.0,0.0,4.0,0.00106,0.3,0.875,0.0,-5.01,0.242,0.128,120.041,0.0,833.0,51.0
12,Lay Me Down,5xsBT2nzS4pgcNt7aoHa60,13.0,249583.0,11.0,1.0,4.0,0.00039,0.341,0.908,0.0,-4.637,0.13,0.371,171.817,0.0,776.0,50.0
