,name,id,track_number,duration,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,tempo,explicit,complexity,popularity_abs,popularity_rel
0,The Beginning - Interlude,1PfkFgRDLuSggFQAd8uvXp,1.0,0.15408753363518585,8.0,1.0,1.0,0.0629,0.245,0.24100000000000002,0.077,0.27473219911783237,0.0322,0.35200000000000004,77.736,0.0,0.10780984719864177,43.0,0.5128205128205128
1,Fly Like An Eagle,5WW76v0NDWK5Wy5tfai5G8,2.0,0.5680312877932894,10.0,0.0,4.0,0.00262,0.268,0.889,0.00066,0.8711405166981726,0.18,0.498,167.886,0.0,0.6239388794567062,49.0,0.6666666666666666
2,The Red Crusade - Interlude,7x2jq2kAhxDH3M6FcgJKbs,3.0,0.03908011301961144,0.0,1.0,4.0,0.935,0.19399999999999998,0.154,0.9179999999999999,0.30686830497794576,0.0413,0.0383,147.872,0.0,0.015280135823429542,43.0,0.5128205128205128
3,The In-Between,3WZiHsjugLgasZW7wGemNN,4.0,0.6052421060003286,10.0,1.0,4.0,0.0119,0.469,0.951,0.0,0.8870510396975426,0.111,0.28300000000000003,149.976,1.0,0.6816638370118846,62.0,1.0
4,Legacy,12f3kgz9J1vU0Sd3qISMuJ,5.0,0.6974004950668394,2.0,1.0,4.0,0.0436,0.23800000000000002,0.8540000000000001,6.82e-06,0.8735428481411467,0.0682,0.138,178.076,0.0,0.6179966044142614,48.0,0.6410256410256411
5,"We Will Rock You (feat. Maria Brink, Lzzy Hale and Taylor Momsen)",3ltS4rlFrCYkdQqGzVjXBi,6.0,0.41774698798425913,11.0,0.0,4.0,0.00387,0.36,0.9570000000000001,3.08e-06,0.8699196597353497,0.24,0.11599999999999999,157.058,0.0,0.34465195246179964,55.0,0.8205128205128205
6,Mother,0kgXAjZ2y0kGjKUekY0H8t,7.0,0.5909449635433641,4.0,0.0,4.0,0.0234,0.40299999999999997,0.851,3.9200000000000004e-05,0.8637759924385633,0.131,0.12,162.029,0.0,0.6154499151103565,50.0,0.6923076923076923
7,"As Above, So Below",4pj2L6WbBAlevdxx6jgm32,8.0,0.5897248042492789,6.0,1.0,4.0,0.000778,0.49700000000000005,0.99,0.0,0.9180056710775047,0.13,0.10099999999999999,131.99,0.0,0.6358234295415959,54.0,0.7948717948717948
8,Born In Flames,4S0oduY2t0ajpZQ6T9kAq1,9.0,0.5781427182347824,11.0,0.0,4.0,0.0671,0.322,0.8540000000000001,0.00041600000000000003,0.8277016383112792,0.0786,0.078,119.85600000000001,0.0,0.634974533106961,46.0,0.5897435897435898
9,God Is She,0qSVzDIOLWqIoOHjUUjv8c,10.0,0.6706297153230998,4.0,1.0,3.0,0.000685,0.17,0.9570000000000001,0.0,0.8220305608065531,0.337,0.177,198.122,0.0,0.6035653650254669,46.0,0.5897435897435898
10,Holy Man,54nRzAJZ5gXwPn9HmkQFuN,11.0,0.5000875390222026,9.0,0.0,4.0,0.000381,0.168,0.9640000000000001,0.00014,0.9195809703843729,0.396,0.16399999999999998,67.673,0.0,0.4923599320882852,44.0,0.5384615384615384
11,Hunting Grounds (feat. Joe Cotela of Ded),2jYQwnSMEQiSLt78QKHceq,12.0,0.6556969048895257,0.0,0.0,4.0,0.00106,0.3,0.875,0.0,0.8560176433522368,0.242,0.128,120.041,0.0,0.6035653650254669,51.0,0.717948717948718
12,Lay Me Down,5xsBT2nzS4pgcNt7aoHa60,13.0,0.5911604442134013,11.0,1.0,4.0,0.00039,0.341,0.9079999999999999,0.0,0.8707073093887838,0.13,0.371,171.817,0.0,0.5551782682512734,50.0,0.6923076923076923
13,Into Dust,7uyXaF9E5bIjxOgzgwHvs3,14.0,1.0,7.0,1.0,4.0,0.715,0.255,0.301,0.0141,0.5945179584120982,0.0316,0.0696,83.586,0.0,0.7113752122241087,43.0,0.5128205128205128
14,Salvation,44QQarpAdUDdAidS5ddJIL,1.0,0.29998410830058475,6.0,1.0,3.0,0.14300000000000002,0.21899999999999997,0.93,0.662,0.6416981726528039,0.0888,0.0391,71.521,0.0,0.266553480475382,36.0,0.3333333333333333
15,Oh Lord,0W8oh1Zst7Y1GczYEDOIuS,2.0,0.5867888801200227,4.0,1.0,4.0,0.0258,0.445,0.882,0.000808,0.8572385003150599,0.109,0.573,144.28,0.0,0.5551782682512734,52.0,0.7435897435897436
16,Black Wedding (feat. Rob Halford),3zUwwYcmob803s2Bkck8GY,3.0,0.5852077907036252,1.0,0.0,4.0,0.00796,0.54,0.9670000000000001,0.0,0.8889413988657845,0.162,0.293,136.89600000000002,0.0,0.6230899830220713,62.0,1.0
17,In the Air Tonight,6wl8vrSR56Tm7GSXjAVP91,4.0,0.7198131782590778,1.0,0.0,4.0,0.0094,0.364,0.502,0.201,0.6694234404536861,0.0348,0.196,94.762,0.0,0.7190152801358234,50.0,0.6923076923076923
18,Joan of Arc,45OFlmffEQJWlHu8Yf6Q1R,5.0,0.5050866905670643,2.0,1.0,4.0,0.00016999999999999999,0.507,0.9490000000000001,0.0,0.8739366729678639,0.17,0.423,133.963,0.0,0.5950764006791172,45.0,0.5641025641025641
19,River of Fire,1HNRXicnRXw34nouoSQi3c,6.0,0.5599965523092794,4.0,1.0,4.0,0.0173,0.442,0.895,9.9e-06,0.880513547574039,0.10099999999999999,0.489,143.829,0.0,0.534804753820034,50.0,0.6923076923076923
20,Witching Hour,3J84AjpIGKYHL1NDKmM2pB,7.0,0.5913139741908028,2.0,1.0,4.0,0.0008900000000000001,0.539,0.938,3.4399999999999996e-05,0.8827583490863263,0.0403,0.614,152.98,0.0,0.7623089983022071,44.0,0.5384615384615384
21,Twin Flames,79D6ftjlstX0zTqag7jw4z,8.0,0.7286101766133442,1.0,0.0,4.0,0.0197,0.256,0.74,0.00139,0.8990233144297416,0.0404,0.165,120.111,0.0,0.6044142614601019,40.0,0.4358974358974359
22,Half God Half Devil,6AzrwTzu1Vhl2t13h3fNVh,9.0,0.5970592275556681,9.0,0.0,4.0,0.0019100000000000002,0.504,0.9520000000000001,0.0,0.9174936988027724,0.0638,0.237,104.007,0.0,0.568760611205433,49.0,0.6666666666666666
23,No Me Importa,3jg7Dbq8xxUGLNeUe8TUYv,10.0,0.6098803274228781,7.0,1.0,3.0,0.00155,0.24600000000000002,0.888,0.0,0.8859877126654064,0.295,0.41,194.958,1.0,0.6748726655348047,43.0,0.5128205128205128
24,Roots,5wBaNy59nK8hJnx8AB2zRe,11.0,0.5899483654444424,6.0,1.0,4.0,0.0319,0.428,0.9590000000000001,0.0,0.9065453686200378,0.256,0.262,144.39600000000002,1.0,0.6578947368421053,57.0,0.8717948717948718
25,Lay Your Gun Down,3aARLhAch8wF1wDMzkL7nJ,12.0,0.5750451836029984,8.0,1.0,4.0,0.371,0.392,0.35600000000000004,0.174,0.5690768746061752,0.0325,0.125,105.68,1.0,0.4694397283531409,38.0,0.38461538461538464
26,The Infection,4s67188GJwhQ9OsLOIzctJ,1.0,0.2145810382397384,5.0,1.0,4.0,0.00037999999999999997,0.205,0.442,0.121,0.6197227473219912,0.0697,0.0705,91.421,0.0,0.20628183361629882,35.0,0.3076923076923077
27,Sex Metal Barbie,75BGF4LC7AOLFfxn6ukZDH,2.0,0.6259336373406453,0.0,1.0,4.0,0.0139,0.5329999999999999,0.935,0.0,0.907451165721487,0.128,0.48100000000000004,140.092,0.0,0.733446519524618,54.0,0.7948717948717948
28,Big Bad Wolf,0QB98b4YFxtW4NQ9narHQM,3.0,0.7546133064700765,11.0,1.0,4.0,0.00122,0.552,0.987,0.000279,0.909892879647133,0.14800000000000002,0.272,89.986,0.0,1.0,56.0,0.8461538461538461
29,Dirty Pretty,1kYR2wTYZUsZ2Gcx7yPYSZ,4.0,0.5854609804909189,5.0,1.0,4.0,0.0024,0.5329999999999999,0.938,0.0,0.924149338374291,0.2,0.35700000000000004,129.93,0.0,0.6833616298811545,48.0,0.6410256410256411
30,Black Widow,5gc7XfphkR2jispckOKwiM,5.0,0.7228299076395978,5.0,1.0,4.0,0.0195,0.621,0.9790000000000001,0.0,0.9460066162570887,0.21899999999999997,0.325,129.946,0.0,0.8234295415959253,43.0,0.5128205128205128
31,Sexual Hallucination (feat. Brent Smith),6rw7Tl49mrgt4w7ZHzhzZ2,6.0,0.9372681899354366,0.0,1.0,4.0,0.0236,0.428,0.9279999999999999,0.0,0.9018588531821046,0.11,0.196,146.05100000000002,0.0,0.865874363327674,40.0,0.4358974358974359
32,Sick Like Me,76AYOdnKWcSLviCsKDXyS1,7.0,0.726474224471601,9.0,0.0,4.0,0.000165,0.44799999999999995,0.982,2.32e-06,0.8969360428481411,0.287,0.0978,131.895,0.0,0.7419354838709677,55.0,0.8205128205128205
33,Bloody Creature Poster Girl,0eHIMJCzU1QV0R6OHeLOuR,8.0,0.6196496823006871,2.0,1.0,4.0,0.008440000000000001,0.551,0.915,0.0,0.95502520478891,0.0846,0.41600000000000004,67.97800000000001,0.0,0.5984719864176571,46.0,0.5897435897435898
34,The Fighter,54sEj5GIx2EW78nRDyC58R,9.0,0.7067765977218307,9.0,0.0,4.0,0.107,0.435,0.743,5.76e-06,0.8247479521109011,0.0792,0.28,141.877,0.0,0.6842105263157895,51.0,0.717948717948718
35,Bones,5gbxjsBPzpjZuPvIptYvPi,10.0,0.6468352623342483,2.0,0.0,4.0,0.000824,0.48100000000000004,0.9640000000000001,0.0,0.8913043478260869,0.384,0.0808,144.055,0.0,0.6120543293718166,40.0,0.4358974358974359
36,Natural Born Sinner,5V2Tg65HSuF0hB22SlNRoa,11.0,0.7516666083073186,5.0,1.0,4.0,0.0106,0.5539999999999999,0.8859999999999999,0.0,0.8749606175173282,0.114,0.326,90.03,0.0,0.831918505942275,42.0,0.48717948717948717
37,Into the Darkness,7ETfZpueP7uNeC4sn9ykYS,12.0,0.38334011199607826,11.0,0.0,5.0,0.396,0.415,0.5539999999999999,9.89e-05,0.11405166981726518,0.505,0.0298,133.391,0.0,0.3030560271646859,32.0,0.23076923076923078
38,Out of Hell,0PQCfIgEooQk14UImqVM5J,13.0,0.9820154445770249,9.0,0.0,4.0,0.7120000000000001,0.34,0.125,0.000168,0.42907214870825455,0.0417,0.179,120.583,0.0,0.8047538200339559,35.0,0.3076923076923077
39,Rise With Me,0EDxwBYWeidzeKr7aDz5l9,1.0,0.2626709367752779,11.0,0.0,4.0,0.34700000000000003,0.401,0.622,0.787,0.651937618147448,0.14300000000000002,0.0936,130.059,0.0,0.29711375212224106,25.0,0.05128205128205128
40,Blood,0Cps36esAzovJOuT0ZZxIJ,2.0,0.4780438664774028,9.0,0.0,4.0,0.012,0.534,0.95,1.91e-06,0.946518588531821,0.161,0.527,140.071,0.0,0.5526315789473685,32.0,0.23076923076923078
41,Adrenalize,4qaJrUoIhHZmg9CWut9uCO,3.0,0.6078332610575252,6.0,1.0,4.0,0.00022999999999999998,0.465,0.96,0.0,0.9002047889098928,0.0792,0.43,132.014,0.0,0.5492359932088285,32.0,0.23076923076923078
42,Whore,16pkTQJlRKSE0jbtDH5dzv,4.0,0.5802517352927709,11.0,0.0,4.0,0.0254,0.604,0.883,0.0,0.9028434152488972,0.047,0.544,90.001,1.0,0.5882852292020373,33.0,0.2564102564102564
43,You're Gonna Listen,18IrllbVcvUA5bMUydNa95,5.0,0.5198471164646087,9.0,0.0,4.0,0.00044400000000000006,0.38299999999999995,0.9890000000000001,0.0013800000000000002,0.9508506616257089,0.158,0.121,146.102,0.0,0.4617996604414261,28.0,0.1282051282051282
44,It Is Written,3TIKjoFHf3RJLHkqXIumRw,6.0,0.0,1.0,1.0,4.0,0.0251,0.24100000000000002,0.764,0.556,0.42422810333963445,0.9059999999999999,0.17300000000000001,145.974,0.0,0.0,23.0,0.0
45,Burn,7IaAkRpILGEhfrNmYN1omQ,7.0,0.6847598602607855,4.0,1.0,4.0,0.00266,0.35200000000000004,0.82,0.00406,0.8447148708254568,0.0584,0.0388,146.108,0.0,0.5067911714770797,28.0,0.1282051282051282
46,Scarlet,387wMs8zOKueRKX25GQWHQ,8.0,0.5385939347578401,6.0,1.0,4.0,0.252,0.557,0.825,0.0,0.8819313169502205,0.0454,0.302,107.94200000000001,0.0,0.4966044142614601,28.0,0.1282051282051282
47,Aries,16c2PPKDKVKGFwYlDLypPp,9.0,0.030417790084118268,1.0,0.0,3.0,0.491,0.259,0.958,0.5,0.3146266540642721,0.5479999999999999,0.0275,81.348,0.0,0.007640067911714771,23.0,0.0
48,From the Ashes,6w195FfSfWqxI9BUystNZs,10.0,0.6364571745635843,0.0,1.0,4.0,5.3500000000000006e-05,0.474,0.975,1.84e-05,0.9285995589161942,0.16,0.335,130.082,0.0,0.7232597623089984,26.0,0.07692307692307693
49,Beast Within,1fkFAYAbkcrEpq5aBk60VW,11.0,0.5380552330827473,4.0,0.0,4.0,0.000776,0.518,0.937,0.0,0.8957151858853182,0.114,0.391,90.01,0.0,0.5797962648556876,28.0,0.1282051282051282
50,Comanche,1QaAefmA9YfhklvbN30D24,12.0,0.4518252559506334,0.0,1.0,4.0,0.000525,0.563,0.963,0.00022200000000000003,0.9180844360428481,0.14800000000000002,0.386,143.993,0.0,0.5212224108658744,29.0,0.15384615384615385
51,The Blood Legion,0pek83G7zpI9PlqDK5gZD2,13.0,0.6443572346288211,9.0,0.0,4.0,0.0911,0.44,0.718,5.36e-05,0.7729599873976055,0.057,0.11199999999999999,150.05100000000002,0.0,0.6612903225806451,26.0,0.07692307692307693
52,11:11,3k4lCHjHWHTj4VBK5CnvIR,14.0,0.7036521280062921,0.0,0.0,3.0,0.873,0.23800000000000002,0.455,0.000685,0.7055765595463137,0.0366,0.128,84.029,0.0,0.6494057724957555,25.0,0.05128205128205128
