,name,name_len,track_number,duration,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,tempo,explicit,complexity,popularity_abs,popularity_norm,age_days
0,The Beginning - Interlude,25,1,0.15408753363518585,g_sharp,major,1,0.0629,0.245,0.241,0.077,0.27473219911783237,0.0322,0.352,0.0771412582695153,False,0.10780984719864177,35,0.34146341463414637,427
1,Fly Like An Eagle,17,2,0.5680312877932894,b_flat,minor,4,0.00262,0.268,0.889,0.00066,0.8711405166981726,0.18,0.498,0.7682159311301734,False,0.6239388794567062,44,0.5609756097560976,427
2,The Red Crusade - Interlude,27,3,0.03908011301961144,c_or_b_sharp,major,4,0.935,0.194,0.154,0.918,0.30686830497794576,0.0413,0.0383,0.6147919876733436,False,0.015280135823429542,35,0.34146341463414637,427
3,The In-Between,14,4,0.6052421060003286,b_flat,major,4,0.0119,0.469,0.951,0.0,0.8870510396975424,0.111,0.283,0.6309208962889711,True,0.6816638370118846,60,0.9512195121951219,427
4,Legacy,6,5,0.6974004950668394,d,major,4,0.0436,0.238,0.854,6.82e-06,0.8735428481411467,0.0682,0.138,0.8463307499482555,False,0.6179966044142614,43,0.5365853658536586,427
5,"We Will Rock You (feat. Maria Brink, Lzzy Hale and Taylor Momsen)",16,6,0.41774698798425913,b,minor,4,0.00387,0.36,0.957,3.08e-06,0.8699196597353497,0.24,0.116,0.6852103120759836,False,0.34465195246179964,53,0.7804878048780488,427
6,Mother,6,7,0.5909449635433641,e,minor,4,0.0234,0.403,0.851,3.92e-05,0.8637759924385633,0.131,0.12,0.7233171584297311,False,0.6154499151103565,44,0.5609756097560976,427
7,"As Above, So Below",18,8,0.5897248042492789,f_sharp,major,4,0.0007779999999999,0.497,0.99,0.0,0.9180056710775047,0.13,0.101,0.49304325828484696,False,0.6358234295415959,58,0.9024390243902439,427
8,Born In Flames,14,9,0.5781427182347824,b,minor,4,0.0671,0.322,0.854,0.000416,0.8277016383112792,0.0786,0.078,0.40002606382570954,False,0.634974533106961,39,0.43902439024390244,427
9,God Is She,10,10,0.6706297153230998,e,major,3,0.000685,0.17,0.957,0.0,0.8220305608065531,0.337,0.177,1.0,False,0.6035653650254669,39,0.43902439024390244,427
10,Holy Man,8,11,0.5000875390222026,a,minor,4,0.000381,0.168,0.964,0.00014,0.9195809703843729,0.396,0.164,0.0,False,0.4923599320882852,37,0.3902439024390244,427
11,Hunting Grounds (feat. Joe Cotela of Ded),15,12,0.6556969048895257,c_or_b_sharp,minor,4,0.00106,0.3,0.875,0.0,0.8560176433522368,0.242,0.128,0.40144424257755895,False,0.6035653650254669,44,0.5609756097560976,427
12,Lay Me Down,11,13,0.5911604442134013,b,major,4,0.00039,0.341,0.908,0.0,0.8707073093887838,0.13,0.371,0.7983503131492,False,0.5551782682512734,42,0.5121951219512195,427
13,Into Dust,9,14,1.0,g,major,4,0.715,0.255,0.301,0.0141,0.5945179584120982,0.0316,0.0696,0.12198637015232003,False,0.7113752122241087,36,0.36585365853658536,427
14,Salvation,9,1,0.29998410830058475,f_sharp,major,3,0.143,0.219,0.93,0.662,0.6416981726528039,0.0888,0.0391,0.02949811803846713,False,0.266553480475382,34,0.3170731707317073,1407
15,Oh Lord,7,2,0.5867888801200227,e,major,4,0.0258,0.445,0.882,0.000808,0.8572385003150599,0.109,0.5730000000000001,0.5872563223941923,False,0.5551782682512734,51,0.7317073170731707,1407
16,Black Wedding (feat. Rob Halford),13,3,0.5852077907036252,c_sharp_or_d_flat,minor,4,0.00796,0.54,0.967,0.0,0.8889413988657845,0.162,0.293,0.5306518256176742,False,0.6230899830220713,62,1.0,1407
17,In the Air Tonight,18,4,0.7198131782590778,c_sharp_or_d_flat,minor,4,0.0094,0.364,0.502,0.201,0.6694234404536861,0.0348,0.196,0.20765969842620485,False,0.7190152801358234,49,0.6829268292682927,1407
18,Joan of Arc,11,5,0.5050866905670643,d,major,4,0.00017,0.507,0.949,0.0,0.8739366729678639,0.17,0.423,0.5081679430275432,False,0.5950764006791172,43,0.5365853658536586,1407
19,River of Fire,13,6,0.5599965523092794,e,major,4,0.0173,0.442,0.895,9.9e-06,0.880513547574039,0.101,0.489,0.5837990325721163,False,0.534804753820034,47,0.6341463414634146,1407
20,Witching Hour,13,7,0.5913139741908028,d,major,4,0.00089,0.539,0.938,3.44e-05,0.8827583490863263,0.0403,0.614,0.6539490528865686,False,0.7623089983022071,43,0.5365853658536586,1407
21,Twin Flames,11,8,0.7286101766133442,c_sharp_or_d_flat,minor,4,0.0197,0.256,0.74,0.00139,0.8990233144297416,0.0404,0.165,0.40198085075393447,False,0.6044142614601019,39,0.43902439024390244,1407
22,Half God Half Devil,19,9,0.5970592275556681,a,minor,4,0.00191,0.504,0.952,0.0,0.9174936988027724,0.0638,0.237,0.27853030686321856,False,0.568760611205433,49,0.6829268292682927,1407
23,No Me Importa,13,10,0.6098803274228781,g,major,3,0.00155,0.246,0.888,0.0,0.8859877126654064,0.295,0.41,0.97574531042783,True,0.6748726655348047,41,0.4878048780487805,1407
24,Roots,5,11,0.5899483654444424,f_sharp,major,4,0.0319,0.428,0.959,0.0,0.9065453686200378,0.256,0.262,0.5881455588007573,True,0.6578947368421053,56,0.8536585365853658,1407
25,Lay Your Gun Down,17,12,0.5750451836029984,g_sharp,major,4,0.371,0.392,0.356,0.174,0.5690768746061752,0.0325,0.125,0.29135524227859166,True,0.4694397283531409,36,0.36585365853658536,1407
